pair_id,task,gamma,temperature,is_baseline,mean_tps,std_tps,p95_tps,mean_acceptance_rate,mean_acceptance_length,mean_ttft_ms,mean_peak_vram_gb,mean_draft_overhead,speedup,tree_budget,is_eagle3
I,humaneval,0,0.0,True,8.69,0.11,8.83,1.0,1.0,201.98,8.01,0.0,1.0,,
I,humaneval,0,0.6,True,8.45,0.29,8.81,1.0,1.0,204.09,8.01,0.0,1.0,,
I,humaneval,0,1.0,True,8.52,0.27,8.83,1.0,1.0,203.77,8.01,0.0,1.0,,
I,triviaqa,0,0.0,True,8.82,0.07,8.91,1.0,1.0,162.03,7.96,0.0,1.0,,
I,triviaqa,0,0.6,True,8.52,0.29,8.8,1.0,1.0,163.79,7.96,0.0,1.0,,
I,triviaqa,0,1.0,True,8.61,0.3,8.89,1.0,1.0,163.52,7.96,0.0,1.0,,
I,cnn_dailymail,0,0.0,True,8.38,0.28,8.74,1.0,1.0,473.8,8.45,0.0,1.0,,
I,cnn_dailymail,0,0.6,True,8.3,0.33,8.79,1.0,1.0,475.55,8.45,0.0,1.0,,
I,cnn_dailymail,0,1.0,True,8.53,0.19,8.83,1.0,1.0,472.96,8.45,0.0,1.0,,
I,writingprompts,0,0.0,True,8.27,0.23,8.64,1.0,1.0,172.87,7.96,0.0,1.0,,
I,writingprompts,0,0.6,True,8.4,0.28,8.83,1.0,1.0,172.13,7.96,0.0,1.0,,
I,writingprompts,0,1.0,True,8.75,0.17,8.89,1.0,1.0,169.5,7.96,0.0,1.0,,
I,humaneval,0,0.0,False,6.71,0.22,7.07,0.0491,0.06,203.43,8.56,0.1276,0.772,20.0,True
I,triviaqa,0,0.0,False,20.87,4.92,24.99,0.8977,4.43,162.6,8.11,0.1292,2.368,20.0,True
I,writingprompts,0,0.0,False,8.01,1.83,11.97,0.2206,0.41,169.72,8.39,0.1293,0.969,20.0,True
I,humaneval,0,0.6,False,7.43,0.15,7.66,0.0488,0.05,202.63,8.31,0.052,0.879,20.0,True
I,triviaqa,0,0.6,False,12.82,1.61,14.11,0.845,1.55,163.54,8.11,0.0523,1.505,20.0,True
I,writingprompts,0,0.6,False,7.52,0.57,7.93,0.0591,0.07,170.27,8.21,0.0523,0.896,20.0,True
I,humaneval,0,1.0,False,7.61,0.18,7.93,0.0974,0.1,202.53,8.29,0.0521,0.893,20.0,True
I,triviaqa,0,1.0,False,11.35,1.56,14.06,0.6784,1.13,163.33,8.12,0.0522,1.318,20.0,True
I,writingprompts,0,1.0,False,7.71,0.34,8.42,0.1145,0.12,170.02,8.2,0.0523,0.881,20.0,True
I,humaneval,0,0.0,False,6.75,0.27,7.21,0.0491,0.06,202.94,8.56,0.1283,0.777,60.0,True
I,triviaqa,0,0.0,False,20.4,4.79,24.5,0.8977,4.43,164.32,8.11,0.127,2.315,60.0,True
I,writingprompts,0,0.0,False,7.82,1.79,11.73,0.2206,0.41,171.09,8.39,0.1272,0.946,60.0,True
I,humaneval,0,0.6,False,6.59,0.22,6.98,0.0555,0.06,203.85,8.37,0.1381,0.779,60.0,True
I,triviaqa,0,0.6,False,11.3,1.44,12.57,0.8323,1.52,164.42,8.16,0.1393,1.326,60.0,True
I,writingprompts,0,0.6,False,6.66,0.33,7.11,0.0586,0.07,171.01,8.26,0.1388,0.793,60.0,True
I,humaneval,0,1.0,False,6.81,0.18,7.15,0.0976,0.11,203.16,8.35,0.139,0.8,60.0,True
I,triviaqa,0,1.0,False,9.93,1.3,12.09,0.6483,1.06,163.79,8.17,0.1396,1.152,60.0,True
I,writingprompts,0,1.0,False,6.89,0.28,7.37,0.1081,0.12,170.92,8.26,0.1397,0.787,60.0,True
I,cnn_dailymail,0,0.0,False,5.77,2.33,9.4,0.1433,0.23,481.16,9.31,0.1022,0.689,20.0,True
I,cnn_dailymail,0,0.6,False,6.03,2.22,8.3,0.0803,0.09,476.55,9.25,0.0415,0.727,20.0,True
I,cnn_dailymail,0,1.0,False,6.13,2.22,7.94,0.1437,0.15,477.62,9.31,0.0413,0.719,20.0,True
I,cnn_dailymail,0,0.0,False,5.94,2.43,9.82,0.1433,0.23,477.84,9.31,0.103,0.708,60.0,True
I,cnn_dailymail,0,0.6,False,5.37,1.91,7.12,0.076,0.09,478.3,9.26,0.1116,0.647,60.0,True
I,cnn_dailymail,0,1.0,False,5.69,2.0,7.3,0.131,0.14,475.91,9.34,0.1128,0.667,60.0,True
