pair_id,task,gamma,temperature,is_baseline,mean_tps,std_tps,p95_tps,mean_acceptance_rate,mean_acceptance_length,mean_ttft_ms,mean_peak_vram_gb,mean_draft_overhead,speedup
G,humaneval,0,0.0,True,7.34,0.04,7.39,1.0,1.0,485.42,19.31,0.0,1.0
G,humaneval,0,0.6,True,7.33,0.08,7.39,1.0,1.0,485.19,19.31,0.0,1.0
G,humaneval,0,1.0,True,7.2,0.75,7.38,1.0,1.0,485.21,19.31,0.0,1.0
G,triviaqa,0,0.0,True,7.37,0.02,7.4,1.0,1.0,340.6,19.17,0.0,1.0
G,triviaqa,0,0.6,True,7.35,0.05,7.38,1.0,1.0,340.63,19.17,0.0,1.0
G,triviaqa,0,1.0,True,7.36,0.04,7.39,1.0,1.0,340.64,19.17,0.0,1.0
G,cnn_dailymail,0,0.0,True,6.87,0.23,7.12,1.0,1.0,1234.1,20.21,0.0,1.0
G,cnn_dailymail,0,0.6,True,6.85,0.26,7.17,1.0,1.0,1233.94,20.21,0.0,1.0
G,cnn_dailymail,0,1.0,True,6.8,0.34,7.2,1.0,1.0,1233.85,20.21,0.0,1.0
G,writingprompts,0,0.0,True,7.36,0.01,7.38,1.0,1.0,358.8,19.19,0.0,1.0
G,writingprompts,0,0.6,True,7.35,0.04,7.38,1.0,1.0,358.83,19.19,0.0,1.0
G,writingprompts,0,1.0,True,7.35,0.03,7.38,1.0,1.0,358.85,19.19,0.0,1.0
G,humaneval,1,0.0,False,4.41,0.15,4.64,0.6309,0.63,530.96,19.4,0.1085,0.601
G,triviaqa,1,0.0,False,4.35,0.14,4.55,0.5863,0.59,384.72,19.3,0.1084,0.59
G,cnn_dailymail,1,0.0,False,4.03,0.25,4.35,0.5717,0.57,1317.54,20.23,0.1043,0.588
G,writingprompts,1,0.0,False,4.02,0.17,4.4,0.4688,0.47,403.41,19.31,0.1084,0.546
G,humaneval,1,0.6,False,4.3,0.18,4.56,0.5886,0.59,530.68,19.39,0.1073,0.587
G,triviaqa,1,0.6,False,4.27,0.16,4.51,0.5579,0.56,384.41,19.3,0.1087,0.58
G,cnn_dailymail,1,0.6,False,3.92,0.32,4.31,0.5377,0.54,1318.44,20.23,0.104,0.572
G,writingprompts,1,0.6,False,3.95,0.24,4.18,0.4619,0.46,405.19,19.3,0.1104,0.538
G,humaneval,1,1.0,False,4.01,0.33,4.35,0.485,0.49,530.44,19.39,0.107,0.557
G,triviaqa,1,1.0,False,3.94,0.17,4.18,0.4377,0.44,384.58,19.29,0.1085,0.535
G,cnn_dailymail,1,1.0,False,3.68,0.32,4.06,0.4525,0.45,1318.19,20.23,0.1034,0.542
G,writingprompts,1,1.0,False,3.86,0.16,4.11,0.4099,0.41,403.47,19.3,0.1086,0.525
G,humaneval,3,0.0,False,5.88,0.44,6.8,0.7537,1.65,614.04,19.4,0.261,0.801
G,triviaqa,3,0.0,False,5.7,0.57,6.58,0.7065,1.53,464.89,19.31,0.2638,0.773
G,cnn_dailymail,3,0.0,False,4.91,0.96,6.38,0.6889,1.45,1442.32,20.41,0.2904,0.715
G,writingprompts,3,0.0,False,4.4,0.43,5.25,0.5262,0.95,486.74,19.31,0.263,0.597
G,humaneval,3,0.6,False,5.56,0.54,6.31,0.7104,1.5,614.84,19.4,0.261,0.758
G,triviaqa,3,0.6,False,5.28,0.48,6.09,0.6574,1.35,467.77,19.31,0.264,0.718
G,cnn_dailymail,3,0.6,False,4.74,1.03,6.25,0.6642,1.37,1443.21,20.43,0.2943,0.692
G,writingprompts,3,0.6,False,4.35,0.43,5.14,0.5206,0.93,488.22,19.31,0.2633,0.591
G,humaneval,3,1.0,False,4.84,0.87,5.78,0.603,1.19,614.96,19.39,0.258,0.672
G,triviaqa,3,1.0,False,4.37,0.44,5.08,0.5261,0.94,467.14,19.3,0.2633,0.593
G,cnn_dailymail,3,1.0,False,4.18,0.75,5.44,0.5869,1.14,1443.05,20.42,0.2984,0.616
G,writingprompts,3,1.0,False,4.24,0.29,4.66,0.5046,0.89,488.37,19.31,0.2627,0.578
G,humaneval,5,0.0,False,7.1,0.64,8.27,0.8347,2.76,698.71,19.4,0.3679,0.968
G,triviaqa,5,0.0,False,6.29,0.83,7.47,0.7625,2.28,549.57,19.32,0.3708,0.854
G,cnn_dailymail,5,0.0,False,5.23,1.57,7.7,0.7381,2.21,1567.04,20.44,0.4157,0.762
G,writingprompts,5,0.0,False,4.08,0.51,5.18,0.5434,1.13,570.79,19.31,0.3713,0.554
G,humaneval,5,0.6,False,6.52,1.17,7.82,0.7836,2.47,699.64,19.4,0.3649,0.891
G,triviaqa,5,0.6,False,6.0,0.86,7.14,0.7356,2.14,550.46,19.31,0.3713,0.816
G,cnn_dailymail,5,0.6,False,4.85,1.69,7.57,0.6968,2.03,1567.7,20.44,0.4176,0.709
G,writingprompts,5,0.6,False,4.24,0.69,5.06,0.5591,1.22,571.49,19.31,0.3716,0.576
G,humaneval,5,1.0,False,5.15,1.32,6.8,0.652,1.74,699.08,19.39,0.3622,0.716
G,triviaqa,5,1.0,False,4.42,0.54,5.34,0.586,1.32,551.73,19.3,0.3726,0.601
G,cnn_dailymail,5,1.0,False,3.68,1.02,5.22,0.5901,1.39,1567.73,20.44,0.4254,0.542
G,writingprompts,5,1.0,False,4.01,0.46,4.75,0.5287,1.1,572.29,19.31,0.3716,0.545
G,humaneval,7,0.0,False,7.94,0.91,9.46,0.8764,3.83,784.02,19.4,0.4441,1.082
G,triviaqa,7,0.0,False,6.92,1.18,8.99,0.809,3.14,632.32,19.32,0.4498,0.939
G,cnn_dailymail,7,0.0,False,5.21,1.98,8.4,0.7562,2.78,1688.78,20.45,0.5014,0.759
