pair_id,task,gamma,temperature,is_baseline,mean_tps,std_tps,p95_tps,mean_acceptance_rate,mean_acceptance_length,mean_ttft_ms,mean_peak_vram_gb,mean_draft_overhead,speedup,tree_budget,is_eagle3
I,humaneval,0,0.0,True,9.51,0.05,9.56,1.0,1.0,179.49,8.02,0.0,1.0,,
I,triviaqa,0,0.0,True,9.58,0.04,9.63,1.0,1.0,135.07,7.96,0.0,1.0,,
I,cnn_dailymail,0,0.0,True,9.17,0.27,9.42,1.0,1.0,462.45,8.45,0.0,1.0,,
I,writingprompts,0,0.0,True,9.5,0.06,9.58,1.0,1.0,142.52,7.96,0.0,1.0,,
I,humaneval,0,0.0,False,7.12,0.45,8.08,0.0318,0.04,179.76,8.1,0.138,0.749,20,True
I,triviaqa,0,0.0,False,24.65,1.52,26.25,0.976,5.27,135.7,8.01,0.1379,2.573,20,True
I,cnn_dailymail,0,0.0,False,8.0,0.85,9.45,0.2796,0.4,462.67,8.69,0.1336,0.872,20,True
I,writingprompts,0,0.0,False,6.98,0.05,7.07,0.0078,0.01,142.88,8.02,0.1374,0.735,20,True
I,humaneval,0,0.0,False,7.1,0.44,7.99,0.0318,0.04,179.76,8.1,0.1378,0.747,60,True
I,triviaqa,0,0.0,False,24.55,1.53,26.22,0.976,5.27,135.73,8.01,0.1374,2.562,60,True
I,cnn_dailymail,0,0.0,False,8.0,0.85,9.48,0.2796,0.4,462.68,8.69,0.1336,0.872,60,True
I,writingprompts,0,0.0,False,7.02,0.06,7.1,0.0078,0.01,142.85,8.02,0.138,0.739,60,True
I,humaneval,0,0.0,False,7.12,0.45,8.08,0.0318,0.04,179.76,8.1,0.138,0.749,20,True
I,triviaqa,0,0.0,False,24.65,1.52,26.25,0.976,5.27,135.7,8.01,0.1379,2.573,20,True
I,cnn_dailymail,0,0.0,False,8.0,0.85,9.45,0.2796,0.4,462.67,8.69,0.1336,0.872,20,True
I,writingprompts,0,0.0,False,6.98,0.05,7.07,0.0078,0.01,142.88,8.02,0.1374,0.735,20,True
I,humaneval,0,0.0,False,7.1,0.44,7.99,0.0318,0.04,179.76,8.1,0.1378,0.747,60,True
I,triviaqa,0,0.0,False,24.55,1.53,26.22,0.976,5.27,135.73,8.01,0.1374,2.562,60,True
I,cnn_dailymail,0,0.0,False,8.0,0.85,9.48,0.2796,0.4,462.68,8.69,0.1336,0.872,60,True
I,writingprompts,0,0.0,False,7.02,0.06,7.1,0.0078,0.01,142.85,8.02,0.138,0.739,60,True
